Sample	per_tile_sequence_quality	per_base_n_content	%GC	avg_sequence_length	File type	Total Sequences	per_base_sequence_quality	per_sequence_gc_content	Sequence length	basic_statistics	per_base_sequence_content	Sequences flagged as poor quality	sequence_duplication_levels	overrepresented_sequences	Encoding	total_deduplicated_percentage	adapter_content	sequence_length_distribution	per_sequence_quality_scores	Filename
SRR6703985_frozen_506f_1_val_1	pass	pass	49.0	50.80463065993505	Conventional base calls	23595125.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	84.59329265576223	pass	warn	pass	SRR6703985_frozen_506f_1_val_1.fq.gz
SRR6703985_frozen_506f_2	pass	pass	49.0	51.0	Conventional base calls	23859640.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	84.61868185342483	pass	pass	pass	SRR6703985_frozen_506f_2.fastq.gz
SRR6703985_frozen_506f_2_fastqc | SRR6703985_frozen_506f_2	pass	pass	49.0	51.0	Conventional base calls	23859640.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	84.61868185342483	pass	pass	pass	SRR6703985_frozen_506f_2.fastq.gz
SRR6703985_frozen_506f_2_val_2	pass	pass	49.0	50.60150781146529	Conventional base calls	23595125.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	84.96853780489998	pass	warn	pass	SRR6703985_frozen_506f_2_val_2.fq.gz
SRR6703986_frozen_507_1	fail	pass	49.0	51.0	Conventional base calls	22848230.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.8595148430259	pass	pass	pass	SRR6703986_frozen_507_1.fastq.gz
SRR6703986_frozen_507_1_fastqc | SRR6703986_frozen_507_1	fail	pass	49.0	51.0	Conventional base calls	22848230.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.8595148430259	pass	pass	pass	SRR6703986_frozen_507_1.fastq.gz
SRR6703986_frozen_507_1_val_1	fail	pass	49.0	50.76581905255525	Conventional base calls	22494631.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	89.2282720548772	pass	warn	pass	SRR6703986_frozen_507_1_val_1.fq.gz
SRR6703986_frozen_507_2	pass	pass	48.0	51.0	Conventional base calls	22848230.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	89.31946973821235	pass	pass	pass	SRR6703986_frozen_507_2.fastq.gz
SRR6703986_frozen_507_2_fastqc | SRR6703986_frozen_507_2	pass	pass	48.0	51.0	Conventional base calls	22848230.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	89.31946973821235	pass	pass	pass	SRR6703986_frozen_507_2.fastq.gz
SRR6703986_frozen_507_2_val_2	pass	pass	48.0	50.514696418003034	Conventional base calls	22494631.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	89.74819229614239	pass	warn	pass	SRR6703986_frozen_507_2_val_2.fq.gz
